Nodes,Processes,Length,Efficiency
1,1,60000,1.0
1,1,90000,1.0
1,1,120000,1.0
1,1,150000,1.0
1,1,180000,1.0
1,2,60000,0.541
1,2,90000,0.265
1,2,120000,0.552
1,2,150000,0.246
1,2,180000,0.506
1,3,60000,0.505
1,3,90000,0.252
1,3,120000,0.541
1,3,150000,0.254
1,3,180000,0.488
1,6,60000,0.15
1,6,90000,0.149
1,6,120000,0.146
1,6,150000,0.161
1,6,180000,0.151
2,2,60000,0.785
2,2,90000,0.827
2,2,120000,0.785
2,2,150000,0.825
2,2,180000,0.784
2,4,60000,0.363
2,4,90000,0.244
2,4,120000,0.356
2,4,150000,0.203
2,4,180000,0.356
2,6,60000,0.355
2,6,90000,0.203
2,6,120000,0.359
2,6,150000,0.215
2,6,180000,0.355
2,12,60000,0.131
2,12,90000,0.141
2,12,120000,0.125
2,12,150000,0.137
2,12,180000,0.13
