Nodes,Processes,Length,Mean Time,Std Dev,Std Dev %
1,1,150000,83.584,13.237,15.837
1,1,90000,30.094,4.786,15.904
1,1,180000,114.129,17.819,15.613
1,1,60000,12.675,1.976,15.59
1,1,120000,50.742,7.926,15.62
1,2,150000,169.486,50.599,29.854
1,2,90000,56.88,22.945,40.339
1,2,180000,112.752,17.901,15.876
1,2,60000,11.712,3.18,27.152
1,2,120000,45.925,12.978,28.259
1,3,90000,39.737,15.436,38.845
1,3,150000,109.836,37.079,33.759
1,3,180000,77.903,14.533,18.655
1,3,60000,8.359,2.026,24.237
1,3,120000,31.249,8.893,28.459
1,6,120000,58.068,9.46,16.291
1,6,180000,125.54,22.248,17.722
1,6,90000,33.743,6.288,18.635
1,6,150000,86.554,15.589,18.011
1,6,60000,14.11,3.177,22.516
2,2,90000,18.211,0.024,0.132
2,2,150000,50.701,0.034,0.067
2,2,120000,32.291,0.018,0.056
2,2,60000,8.074,0.009,0.111
2,2,180000,72.755,0.062,0.085
2,4,150000,103.104,1.797,1.743
2,4,90000,30.845,9.49,30.767
2,4,120000,35.578,4.033,11.336
2,4,60000,8.737,0.916,10.484
2,4,180000,80.037,9.378,11.717
2,6,150000,64.743,12.685,19.593
2,6,90000,24.747,1.78,7.193
2,6,60000,5.955,0.605,10.16
2,6,180000,53.642,2.164,4.034
2,6,120000,23.57,1.592,6.754
2,12,150000,50.689,6.258,12.346
2,12,90000,17.798,1.927,10.827
2,12,120000,33.708,2.453,7.277
2,12,60000,8.068,0.888,11.006
2,12,180000,73.342,7.141,9.737
