Nodes,Processes,Length,Speed Up
1,1,60000,1.0
1,1,90000,1.0
1,1,120000,1.0
1,1,150000,1.0
1,1,180000,1.0
1,2,60000,1.082
1,2,90000,0.529
1,2,120000,1.105
1,2,150000,0.493
1,2,180000,1.012
1,3,60000,1.516
1,3,90000,0.757
1,3,120000,1.624
1,3,150000,0.761
1,3,180000,1.465
1,6,60000,0.898
1,6,90000,0.892
1,6,120000,0.874
1,6,150000,0.966
1,6,180000,0.909
2,2,60000,1.57
2,2,90000,1.653
2,2,120000,1.571
2,2,150000,1.649
2,2,180000,1.569
2,4,60000,1.451
2,4,90000,0.976
2,4,120000,1.426
2,4,150000,0.811
2,4,180000,1.426
2,6,60000,2.128
2,6,90000,1.216
2,6,120000,2.153
2,6,150000,1.291
2,6,180000,2.128
2,12,60000,1.571
2,12,90000,1.691
2,12,120000,1.505
2,12,150000,1.649
2,12,180000,1.556
