Nodes,Processes,Length,Mean Time,Std Dev,Std Dev %
1,1,150000,83.584,13.237,15.837
1,1,90000,30.093,4.771,15.854
1,2,150000,169.486,50.599,29.854
1,2,90000,56.88,22.945,40.339
1,3,90000,39.737,15.436,38.845
1,3,150000,109.836,37.079,33.759
1,6,90000,33.743,6.288,18.635
1,6,150000,86.554,15.589,18.011
2,2,90000,18.211,0.024,0.132
2,2,150000,50.701,0.034,0.067
2,4,150000,103.104,1.797,1.743
2,4,90000,30.845,9.49,30.767
2,6,150000,64.743,12.685,19.593
2,6,90000,24.747,1.78,7.193
2,12,150000,50.689,6.258,12.346
2,12,90000,17.798,1.927,10.827
